keyname, keyvalue
globalDomain , g
GRIBEditionNumber , 2
tablesVersionLatestOfficial , 32
tablesVersionLatest , 33
grib2divider , 1000000
angleSubdivisions , 1000000
missingValue , 9999
ieeeFloats , 1
isHindcast , 0
section0Length , 16
identifier , GRIB
discipline , 0
editionNumber , 2
totalLength , 872962
sectionNumber , [1 3 3 4 5 6 7]
section1Length , 21
numberOfSection , [1 3 4 5 6 7]
centre , kwbc
centreDescription , US National Weather Service - NCEP
subCentre , 0
tablesVersion , 2
masterDir , grib2/tables/[tablesVersion]
localTablesVersion , 1
significanceOfReferenceTime , 1
year , 2024
month , 11
day , 2
hour , 18
minute , 0
second , 0
dataDate , 20241102
julianDay , 2460617.25
dataTime , 1800
productionStatusOfProcessedData , 0
typeOfProcessedData , fc
md5Section1 , 68f61a9372aa0e8a3b3a1894926e67f8
selectStepTemplateInterval , 1
selectStepTemplateInstant , 1
stepType , instant
is_chemical , 0
is_chemical_distfn , 0
is_chemical_srcsink , 0
is_aerosol , 0
is_aerosol_optical , 0
setCalendarId , 0
deleteCalendarId , 0
sectionNumber , [1 3 3 4 5 6 7]
grib2LocalSectionPresent , 0
deleteLocalDefinition , 0
sectionNumber , [1 3 3 4 5 6 7]
gridDescriptionSectionPresent , 1
section3Length , 72
numberOfSection , [1 3 4 5 6 7]
sourceOfGridDefinition , 0
numberOfDataPoints , 1038240
numberOfOctectsForNumberOfPoints , 0
interpretationOfNumberOfPoints , 0
PLPresent , 0
gridDefinitionTemplateNumber , 0
gridDefinitionDescription , Latitude/longitude. Also called equidistant cylindrical, or Plate Carree
shapeOfTheEarth , 6
scaleFactorOfRadiusOfSphericalEarth , 0
scaledValueOfRadiusOfSphericalEarth , 0
scaleFactorOfEarthMajorAxis , 0
scaledValueOfEarthMajorAxis , 0
scaleFactorOfEarthMinorAxis , 0
scaledValueOfEarthMinorAxis , 0
radius , 6371229
isGridded , 1
Ni , 1440
Nj , 721
basicAngleOfTheInitialProductionDomain , 0
mBasicAngle , 0
angleMultiplier , 1
mAngleMultiplier , 1000000
subdivisionsOfBasicAngle , 2147483647
angleDivisor , 1000000
latitudeOfFirstGridPoint , 90000000
longitudeOfFirstGridPoint , 0
resolutionAndComponentFlags , 48
resolutionAndComponentFlags1 , 0
resolutionAndComponentFlags2 , 0
iDirectionIncrementGiven , 1
jDirectionIncrementGiven , 1
uvRelativeToGrid , 0
resolutionAndComponentFlags6 , 0
resolutionAndComponentFlags7 , 0
resolutionAndComponentFlags8 , 0
ijDirectionIncrementGiven , 1
latitudeOfLastGridPoint , -90000000
longitudeOfLastGridPoint , 359750000
iDirectionIncrement , 250000
jDirectionIncrement , 250000
scanningMode , 0
iScansNegatively , 0
jScansPositively , 0
jPointsAreConsecutive , 0
alternativeRowScanning , 0
iScansPositively , 1
jScansNegatively , 1
scanningMode5 , 0
scanningMode6 , 0
scanningMode7 , 0
scanningMode8 , 0
g2grid , [ 9.0000e+01  0.0000e+00 -9.0000e+01  3.5975e+02  2.5000e-01  2.5000e-01]
latitudeOfFirstGridPointInDegrees , 90.0
longitudeOfFirstGridPointInDegrees , 0.0
latitudeOfLastGridPointInDegrees , -90.0
longitudeOfLastGridPointInDegrees , 359.75
iDirectionIncrementInDegrees , 0.25
jDirectionIncrementInDegrees , 0.25
latLonValues , [ 90.           0.         261.44445312 ... -90.         359.75
 235.41445312]
latitudes , [ 90.  90.  90. ... -90. -90. -90.]
longitudes , [0.0000e+00 2.5000e-01 5.0000e-01 ... 3.5925e+02 3.5950e+02 3.5975e+02]
distinctLatitudes , [ 90.    89.75  89.5   89.25  89.    88.75  88.5   88.25  88.    87.75
  87.5   87.25  87.    86.75  86.5   86.25  86.    85.75  85.5   85.25
  85.    84.75  84.5   84.25  84.    83.75  83.5   83.25  83.    82.75
