p_name,t_fips,t_cap,ylat,xlong,geometry
25 Mile Creek,40045.0,250000.0,36.46696818333333,-99.76368053333334,POINT (-99.76368053333331 36.46696818333332)
30 MW Iowa DG Portfolio,19157.0,30000.0,42.0065709,-93.44978569999999,POINT (-93.4497857 42.0065709)
6th Space Warning Squadron,25001.0,3360.0,41.753341500000005,-70.543552,POINT (-70.543552 41.753341500000005)
AFCEE MMR Turbines,25001.0,3000.0,41.7585905,-70.5465505,POINT (-70.5465505 41.7585905)
AG Land 1,19169.0,1600.0,42.20639,-93.325691,POINT (-93.325691 42.20639)
AG Land 2,19169.0,1600.0,42.146091,-93.428093,POINT (-93.428093 42.146091)
AG Land 3,19169.0,1600.0,42.145592,-93.431992,POINT (-93.431992 42.145592)
AG Land 4,19169.0,1600.0,41.904194,-93.354897,POINT (-93.354897 41.904194)
AG Land 5,19079.0,1600.0,42.335491,-93.632095,POINT (-93.632095 42.335491)
AG Land 6,19079.0,1600.0,42.335491,-93.636795,POINT (-93.636795 42.335491)
AMP-Ohio/Green Mountain Energy Wind Farm,39173.0,3600.0,41.3835925,-83.736298,POINT (-83.736298 41.3835925)
Adair,19001.0,174800.0,41.455717552631576,-94.66774235526316,POINT (-94.66774235526317 41.45571755263156)
Adams,19003.0,154284.0,40.92077409375,-94.6747481875,POINT (-94.67474818749999 40.92077409375001)
"Adams Wind Generations, LLC",27093.0,20040.0,44.91498441666667,-94.72384258333334,POINT (-94.72384258333334 44.91498441666667)
Agassiz Beach,27027.0,1980.0,47.00331,-96.432833,POINT (-96.432833 47.00331)
Agriwind,17011.0,8400.0,41.30081775,-89.6190945,POINT (-89.6190945 41.30081775)
Ainsworth Wind Project (NPPD),31017.0,59400.0,42.46111747222222,-99.91407561111112,POINT (-99.9140756111111 42.46111747222221)
Air Force (Barnstable),25001.0,1500.0,41.657692,-70.591103,POINT (-70.591103 41.657692)
Air Force (Laramie),56021.0,2000.0,41.178291,-104.884689,POINT (-104.884689 41.178291)
Alexander,20165.0,48300.0,38.431246238095234,-99.53413800000001,POINT (-99.53413800000001 38.431246238095234)
Alite Wind Farm,6029.0,24000.0,35.03511975,-118.341076,POINT (-118.341076 35.03511975000001)
Allegheny Ridge,42013.0,84000.0,40.384677833333335,-78.58392657142856,POINT (-78.58392657142855 40.38467783333333)
Alta Farms II,17039.0,200500.0,40.19034156,-89.05788906,POINT (-89.05788905999998 40.19034155999999)
